,title,date,result,explain,tag
0,羊驼抗体能够消灭新型冠状病毒,2020-05-08,疑,尚无定论,"['羊驼', '新型冠状病毒']"
1,印度使用挖掘机活埋新冠病毒感染者,2020-05-07,假,谣言,"['印度', '非洲']"
2,日本诺奖得主本庶佑称新冠病毒是中国实验室制造,2020-05-05,假,谣言,"['日本', '新冠病毒']"
3,世界卫生组织5月1日重申新冠病毒源自自然界,2020-05-02,真,确有此事,"['新冠病毒', '世界卫生组织']"
4,泰国猫咪疫情期间违反外出禁令被捕，“罪犯照”流出,2020-05-01,假,假新闻,"['泰国', '猫']"
5,已有抗体的新冠肺炎治愈者不会再次感染,2020-04-30,疑,尚无定论,"['抗体', '新型冠状病毒']"
6,吸烟者可能较易感染新型冠状病毒,2020-04-29,真,确实如此,"['吸烟者', '新型冠状病毒']"
7,儿童佩戴N95口罩可能会造成不可逆伤害,2020-04-28,真,确实如此,"['N95口罩', '儿童']"
8,英国新冠疫苗人体试验先行者Elisa已死亡,2020-04-28,假,谣言,"['新冠肺炎', '疫苗']"
9,王辰院士表示中国已决定实行“群体免疫”,2020-04-28,假,谣言,"['群体免疫', '新冠肺炎']"
10,全国31省市摘口罩时间表公布,2020-04-26,假,谣言,"['新冠肺炎', '口罩']"
11,商务部对外贸易司指定5家企业生产出口医疗物资,2020-04-25,假,谣言,"['医用物资', '出口']"
12,脚上起“水痘”、失去嗅觉和味觉，是新冠新症状,2020-04-24,疑,尚无定论,"['新型冠状病毒', '水痘']"
13,新冠肺炎的R0是5.7，高于常见的流行病,2020-04-23,疑,尚无定论,"['新冠肺炎', '传染病']"
14,钟南山说过“五月份疫情将全面爆发”,2020-04-22,假,谣言,"['钟南山', '新型冠状病毒']"
15,组合用羟氯喹阿奇霉素和硫酸锌能有效治疗新冠肺炎,2020-04-21,疑,尚无定论,"['新型冠状病毒', '羟氯喹']"
16,美国纽约殡葬公司员工累倒午睡，被同事误当尸体火化,2020-04-20,假,假新闻,"['美国', '纽约']"
17,4月20日北京市朝阳区被列为疫情高风险地区,2020-04-20,真,确有此事,"['北京', '朝阳区']"
18,美国纽约大量青壮年一发病就上呼吸机，是ADE导致,2020-04-20,假,谣言,"['纽约', '新型冠状病毒']"
19,北京市教委确认幼升小以及小升初预计推迟至今年七月,2020-04-19,假,谣言,"['北京', '开学时间']"
20,北京西站出现大量白衣人，意味着北京疫情大爆发,2020-04-18,假,谣言,"['北京西站', '新型冠状病毒']"
21,有论文证明新冠病毒可以通过鞋底传播4米,2020-04-17,假,谣言,"['新冠病毒', '鞋底']"
22,比尔·盖茨利用新冠疫情控制人口，完成人类清除计划,2020-04-17,假,谣言,"['比尔·盖茨', '新冠病毒']"
23,美国基于唾液的新冠病毒检测方法准确率100%,2020-04-16,疑,尚无定论,"['新型冠状病毒', '唾液']"
24,长期高浓度使用84消毒液，可能导致过敏性肺泡炎,2020-04-16,真,确实如此,"['84消毒液', '过敏性肺泡炎']"
25,特朗普请巫师到白宫施法以驱除新冠病毒,2020-04-15,假,谣言,"['新型冠状病毒', '特朗普']"
26,无症状感染者是新冠病毒后期的特征,2020-04-14,假,谣言,"['新型冠状病毒', '无症状感染者']"
27,氯喹和羟氯喹可以有效治疗新冠肺炎,2020-04-14,疑,尚无定论,"['新冠肺炎', '氯喹']"
28,剑桥研究可确定病毒有三个版本，原始版本美澳更常见,2020-04-13,疑,尚无定论,"['剑桥大学', '新型冠状病毒']"
29,伊维菌素可以治疗新冠肺炎,2020-04-13,假,谣言,"['伊维菌素', '新冠肺炎']"
30,北京市于4月12日官宣高三初三年级返校时间,2020-04-12,真,确有此事,"['北京', '开学']"
31,张文宏说武汉已经实现群体免疫,2020-04-12,假,谣言,"['武汉', '张文宏']"
32,5G是新冠病毒的元凶，没有5G就不会爆发疫情,2020-04-11,假,谣言,"['5G', '新型冠状病毒']"
33,武汉大智路数码港有无症状新冠肺炎患者倒地,2020-04-11,假,谣言,"['武汉', '新冠肺炎']"
34,美国新冠肺炎患者跳海自杀导致海盐污染，需要抢盐,2020-04-10,假,谣言,"['盐', '新型冠状病毒']"
35,柳州奖励援鄂医疗队员每人一辆汽车,2020-04-09,假,谣言,"['柳州', '援鄂医疗队']"
36,北京市于4月8日宣布高三年级4月27日开学,2020-04-09,假,谣言,"['北京', '开学时间']"
37,上海高三年级、初三年级于4月27日返校开学,2020-04-09,真,确有此事,"['上海', '开学时间']"
38,张文宏医生自曝收入和全家福,2020-04-08,假,谣言,"['张文宏', '华山医院']"
39,BBC4月7日称英国首相鲍里斯因新冠肺炎去世,2020-04-07,假,谣言,"['英国', '新冠肺炎']"
40,北京某区教委初步确认9月1日前不开学,2020-04-07,假,谣言,"['北京', '开学时间']"
41,美国用最先进的显微镜看到空气中充满病毒,2020-04-07,假,谣言,"['新型冠状病毒', '空气传播']"
42,停止食用烘焙食品！食用烘焙食品容易感染新冠病毒,2020-04-07,假,谣言,"['新型冠状病毒', '烘焙食品']"
43,意大利女孩确诊新冠肺炎后阳台自杀,2020-04-06,假,谣言,"['意大利', '新型冠状病毒']"
44,4月7日起廊坊市恢复机动车限行,2020-04-06,假,谣言,"['机动车限行', '廊坊']"
45,意大利民众因新冠疫情将纸币丢弃于大街,2020-04-05,假,谣言,"['意大利', '新型冠状病毒']"
46,柳絮会携带新冠病毒，从而导致跨区域性传播,2020-04-05,假,谣言,"['柳絮', '新型冠状病毒']"
47,病毒惹的祸：美国有很多感染的人绝望跳海了,2020-04-05,假,谣言,"['美国', '新型冠状病毒']"
48,卡介苗能够抵御新冠病毒,2020-04-05,疑,尚无定论,"['卡介苗', '新冠病毒']"
49,意大利警察当街把65岁以上的老年人都抓了关起来,2020-04-05,假,谣言,"['意大利', '新型冠状病毒']"
50,甘肃省已确定开学时间：4月9日起分批次有序开学,2020-04-04,真,确有此事,"['甘肃', '开学']"
51,山东省已确定开学时间：高中毕业年级4月15日开学,2020-04-04,真,确有此事,"['山东', '开学']"
52,新加坡总理李显龙确诊感染新冠肺炎,2020-04-03,假,谣言,"['新型冠状病毒', '李显龙']"
53,教育部宣布取消2020年6月的英语四六级考试,2020-04-03,假,谣言,"['英语四六级', '教育部']"
54,河北省教育厅发布公告：河北各学校于4月10日开学,2020-04-03,假,谣言,"['河北', '开学时间']"
55,男子为了不隔离从澳门游泳回珠海,2020-04-02,假,谣言,"['新型冠状病毒', '珠海']"
56,多地发生入室抢劫案，抢劫犯冒充防疫人员,2020-04-02,假,谣言,"['新型冠状病毒', '防疫人员']"
57,意大利政府将新冠病人尸体丢入万人坑,2020-04-02,假,谣言,"['意大利', '新型冠状病毒']"
58,视频：意大利情侣双双感染新冠肺炎，病房永别后去世,2020-04-01,假,谣言,"['新型冠状病毒', '意大利']"
59,新型冠状病毒可以通过空气传播,2020-04-01,疑,尚无定论,"['新型冠状病毒', '空气传播']"
60,新型冠状病毒无症状感染者存在传播风险,2020-03-31,真,确实如此,"['新型冠状病毒', '无症状感染者']"
61,喝柠檬苏打水可以预防新冠肺炎,2020-03-31,假,伪科学,"['柠檬', '小苏打']"
62,东京将于4月2日封城,2020-03-31,假,谣言,"['东京', '新型冠状病毒']"
63,新型冠状病毒会通过气溶胶传播,2020-03-31,疑,尚无定论,"['新型冠状病毒', '飞沫']"
64,2020年全国高考延期一个月举行,2020-03-31,真,确有此事,"['高考', '湖北省']"
65,吉林省教育厅于3月29日正式通知中小学延后开学,2020-03-31,假,谣言,"['吉林省', '中小学教育']"
66,上海市杨浦区一小区境外输入病例被带走,2020-03-30,假,谣言,"['上海', '新型冠状病毒']"
67,湖南省教育厅通告：全省高三初三年级4月7日开学,2020-03-29,真,确有此事,"['湖南', '开学']"
68,辽宁省教育局3月28日前公布了各学校具体开学时间,2020-03-28,假,谣言,"['辽宁', '中小学教育']"
69,天津市教育局于3月27日公布中小学及高校开学时间,2020-03-28,假,谣言,"['天津', '教学安排']"
70,英国首相鲍里斯确诊新冠肺炎,2020-03-28,真,确有此事,"['新型冠状病毒', '英国']"
71,世界男高音多明戈因新冠肺炎于3月26日去世,2020-03-27,假,谣言,"['多明戈', '新冠肺炎']"
72,中国出口捷克的新冠快速检测试剂错误率80%,2020-03-27,假,谣言,"['新冠病毒', '捷克']"
73,西班牙的中国公民可登记信息，撤侨按照登记顺序进行,2020-03-27,假,谣言,"['撤侨', '西班牙']"
74,四川省教育厅已于3月25日确定高三初三开学时间,2020-03-26,真,确有此事,"['四川', '开学时间']"
75,广东已于3月26日前确定学生返校时间,2020-03-26,假,谣言,"['广东', '开学时间']"
76,拥吻照里的意大利医生夫妇，抢救百名病人后感染死亡,2020-03-26,假,谣言,"['意大利', '新型冠状病毒']"
77,来自斯坦福医院的关于新冠肺炎的十点提醒,2020-03-25,假,谣言,"['新型冠状病毒', '斯坦福大学']"
78,喀麦隆机场警察开枪射击感染新冠肺炎的乘客,2020-03-25,假,谣言,"['喀麦隆', '新型冠状病毒']"
79,日常消毒时所有的消毒剂都能有效杀灭新型冠状病毒,2020-03-25,疑,有失实,"['新型冠状病毒', '消毒剂']"
80,武汉市政府不再对新冠肺炎病人免费治疗,2020-03-25,假,谣言,"['新型冠状病毒', '武汉']"
81,比尔盖茨发表公开信，称“病毒是伟大的纠错”,2020-03-25,假,谣言,"['新型冠状病毒', '比尔盖茨']"
82,哈佛大学校长夫妇确诊新冠肺炎,2020-03-25,真,确有此事,"['新型冠状病毒', '哈佛大学']"
83,意大利不再给60岁以上的新冠肺炎患者戴呼吸机,2020-03-25,假,谣言,"['意大利', '新型冠状病毒']"
84,首部抗疫剧钟南山饰演者已确定为陈道明,2020-03-25,假,谣言,"['钟南山', '陈道明']"
85,中铁十九局发布意大利建方舱医院招工简章,2020-03-24,假,谣言,"['意大利', '中铁十九局']"
86,海关不允许携带或寄递口罩出境,2020-03-24,假,谣言,"['口罩', '海关']"
87,新冠肺炎患者治愈后要佩戴14天手环,2020-03-24,假,谣言,"['新冠肺炎', '病毒']"
88,湖北疫情反弹医疗队暂缓离鄂,2020-03-24,假,谣言,"['新冠肺炎', '医疗队']"
89,一对夫妻登记结婚，男方叫辛冠，女方叫费妍,2020-03-24,假,谣言,"['新冠肺炎', '结婚证']"
90,每天用肥皂洗鼻窦可以降低感染肺炎风险,2020-03-24,假,谣言,"['新型冠状病毒', '肥皂']"
91,德国总理默克尔居家隔离,2020-03-23,真,确有此事,"['新型冠状病毒', '德国']"
92,江苏省政府公告开学时间，3月30日起分批次开学,2020-03-23,真,确有此事,"['江苏省', '开学时间']"
93,为让民众在家隔离，普京在街上放了800只狮子老虎,2020-03-23,假,谣言,"['新型冠状病毒', '俄罗斯']"
94,美国24小时内搭建180座野战医院，遍布美国各地,2020-03-22,假,谣言,"['美国', '野战医院']"
95,通知：全国的国际航班一律全部由上海承担飞行,2020-03-22,假,谣言,"['上海', '国际航班']"
96,受疫情影响，游客减少，威尼斯出现天鹅和海豚游泳,2020-03-22,假,谣言,"['威尼斯', '意大利']"
97,广州“女毒王”照片曝光，戴墨镜在国外游玩,2020-03-21,假,谣言,"['新冠病毒', '广州']"
98,中国球员武磊在西班牙确诊感染新冠病毒,2020-03-21,真,确有此事,"['武磊', '新冠病毒']"
99,美国启用10艘医疗舰驶入纽约港，收治新冠肺炎病人,2020-03-21,假,谣言,"['美国', '医疗舰']"
100,斯坦福大学：能憋气10秒就没感染新冠病毒,2020-03-21,假,谣言,"['新冠病毒', '斯坦福大学']"
101,武汉殡仪馆招募义工，工资日结，4000元/晚,2020-03-20,假,谣言,"['新型冠状病毒', '武汉']"
102,西班牙生物学家：C罗梅西收入高，找他们要疫苗,2020-03-20,假,谣言,"['C罗', '新型冠状病毒']"
103,成都已通告中小学分别在4月7、13、20日开学,2020-03-20,假,谣言,"['成都', '开学']"
104,因带宽压力，欧盟敦促网飞等平台停止提供高清视频,2020-03-20,真,确有此事,"['疫情', '网飞公司']"
105,如果身边朋友同事得过新冠肺炎，今后两年绝不能接触,2020-03-20,假,谣言,"['新型冠状病毒', '接触传播']"
106,援鄂医务人员均可获一枚纪念章，全家终生免费游湖北,2020-03-19,疑,有失实,"['新型冠状病毒', '援鄂医疗队']"
107,NBA球员欧文等三人新冠病毒检测结果呈阳性,2020-03-19,假,谣言,"['新型冠状病毒', 'NBA']"
108,江西省3月19前已官宣各级学校于4月5日分批开学,2020-03-19,假,谣言,"['江西', '新型冠状病毒']"
109,A型血更易感染新冠肺炎，O型血不易感,2020-03-18,疑,尚无定论,"['新型冠状病毒', '易感人群']"
110,市政府会仪（议）精神：3月22日可点对点返鄂返汉,2020-03-18,假,谣言,"['武汉', '新型冠状病毒']"
111,天津大中小学、幼儿园开学时间3月17日前已确定,2020-03-18,假,谣言,"['新型冠状病毒', '天津']"
112,福建高三和初三年级3月23日开学,2020-03-18,假,谣言,"['新型冠状病毒', '福建']"
113,石正丽警告：对疫情不必太乐观，蚊虫或成第三宿主,2020-03-17,假,谣言,"['武汉病毒所', '新型冠状病毒']"
114,《老人报》八年前预测新型冠状病毒会输入爆发,2020-03-17,假,谣言,"['疾病爆发', '预测']"
115,布鲁塞尔地铁一男子舔手后把口水抹在车厢扶手上,2020-03-17,真,确有此事,"['比利时', '布鲁塞尔']"
116,日本医生建议：大量喝水保持喉咙湿润，预防新冠病毒,2020-03-16,假,伪科学,"['新型冠状病毒', '传染病']"
117,视频：特朗普感染新冠肺炎，演讲时晕倒，副总统接任,2020-03-16,假,谣言,"['特朗普', '新冠病毒']"
118,C罗买下了一座小岛暂住，以隔离新冠病毒,2020-03-16,假,谣言,"['C罗', '新型冠状病毒']"
119,连云港市东海县境外回国人员确诊新冠肺炎,2020-03-15,假,谣言,"['新型冠状病毒', '连云港']"
120,北京一名代购韩国扫货回国后不隔离,2020-03-15,假,谣言,"['新型冠状病毒', '韩国']"
121,武汉一家五口因发热瞒报被送医,2020-03-15,假,谣言,"['武汉', '新型冠状病毒']"
122,特朗普新冠病毒测试结果呈阳性,2020-03-15,假,谣言,"['新型冠状病毒', '特朗普']"
123,马来西亚巫师病床作法抓新冠病毒后遭隔离,2020-03-14,假,谣言,"['马来西亚', '新型冠状病毒']"
124,意大利卫生部长感染新型冠状病毒去世,2020-03-14,假,谣言,"['意大利', '新型冠状病毒']"
125,巴西总统博索纳罗确诊新冠肺炎,2020-03-14,假,假新闻,"['巴西', '新型冠状病毒']"
126,武汉青山区某隔离点有32名因疫情失去监护人的孤儿,2020-03-13,假,谣言,"['武汉', '新型冠状病毒']"
127,意大利大使馆防疫物资采购清单流出,2020-03-13,假,谣言,"['意大利', '新型冠状病毒']"
128,湖南汨罗新增19例新冠肺炎患者,2020-03-13,假,谣言,"['汨罗', '新型冠状病毒']"
129,意大利新冠疫情严重，军方动用坦克封城,2020-03-12,假,谣言,"['意大利', '坦克']"
130,北京4月6日大学中学开学，20日小学幼儿园开学,2020-03-12,假,谣言,"['北京', '开学']"
131,上海3月16日起出行正常化，4月6日起陆续开学,2020-03-12,假,谣言,"['上海', '开学']"
132,汤姆·汉克斯宣布他和妻子感染新冠病毒,2020-03-12,真,确有此事,"['汤姆汉克斯', '新型冠状病毒']"
133,NBA官方确认暂停2019-2020赛季,2020-03-12,真,确有此事,"['新型冠状病毒', 'NBA']"
134,戴口罩可以吹灭蜡烛打火机火苗，说明口罩不合格,2020-03-12,假,伪科学,"['口罩', '蜡烛']"
135,合格的口罩会吸附大量纸屑，反之就是不合格的口罩,2020-03-11,假,伪科学,"['口罩', '吸附纸屑']"
136,新型冠状病毒和乙肝病毒一样,2020-03-11,假,谣言,"['乙肝', '新型冠状病毒']"
137,中国捐助日本的检测试剂盒被美国强行拦截，已经用完,2020-03-11,假,谣言,"['新型冠状病毒', '检测试剂盒']"
138,里皮：中国下决心做一件事时执行力很强，除了足球,2020-03-11,假,谣言,"['里皮', '中国']"
139,政府通告：3月11日起南阳市全面恢复生产生活秩序,2020-03-11,真,确有此事,"['复工', '南阳']"
140,抗病毒药阿昔洛韦能有效预防新冠肺炎,2020-03-10,假,伪科学,"['新型冠状病毒', '阿昔洛韦']"
141,河南省中小学幼儿园3月14日起陆续开学,2020-03-10,假,谣言,"['新型冠状病毒', '河南']"
142,3月16日起天津恢复尾号限行,2020-03-10,假,谣言,"['天津', '尾号限行']"
143,武汉天河机场复航日期已确定,2020-03-10,假,谣言,"['武汉', '天河机场']"
144, 新冠病毒能在康复者体内存留数周但传染力变弱,2020-03-10,疑,尚无定论,"['新型冠状病毒', '核酸检测']"
145,吴好运于泉州欣佳宾馆隔离期间死亡，没躲过追杀,2020-03-10,假,谣言,"['新型冠状病毒', '泉州']"
146,新冠肺炎患者的母乳中有新冠病毒,2020-03-10,疑,尚无定论,"['新型冠状病毒', '接触传播']"
147,中国禁止医用口罩出口,2020-03-10,假,谣言,"['新型冠状病毒', '出口限制']"
148,中国驻韩国使馆3月份暂停办理中国护照,2020-03-10,假,谣言,"['新型冠状病毒', '韩国']"
149,钟南山预测：五年后人民体质会整体下降，养生是防火,2020-03-09,疑,有失实,"['钟南山', '养生']"
150,市政府：3月16日居民出行正常化，17日公交正常,2020-03-09,假,谣言,"['出行', '公交']"
151,上海虹口足球场成为集中隔离点,2020-03-09,假,谣言,"['新型冠状病毒', '上海']"
152,上海港汇恒隆广场被封，确诊一例，意大利人！,2020-03-08,假,谣言,"['新型冠状病毒', '上海']"
153,每天用肥皂洗鼻窦可以降低感染肺炎风险,2020-03-08,假,谣言,"['新型冠状病毒', '疾病预防']"
154,北医三院曾海基：中医治疗新冠肺炎320例无一死亡,2020-03-08,假,谣言,"['新型冠状病毒', '北京大学第三医院']"
155,李跃华夫妇受韩国邀请前往抗疫，代表国家出征邻国,2020-03-08,假,谣言,"['李跃华', '新型冠状病毒']"
156,政府已通告荆州将于3月10号解封复工,2020-03-08,假,谣言,"['新型冠状病毒', '交通管制']"
157,湖北产地的水果不能吃,2020-03-08,假,谣言,"['新型冠状病毒', '湖北']"
158,新冠病毒会在夏季自行消失,2020-03-07,疑,尚无定论,"['新型冠状病毒', '世界卫生组织']"
159,名字里带“氯”的消毒剂就是含氯消毒剂,2020-03-07,疑,有失实,"['含氯消毒剂', '次氯酸']"
160,牛蛙、甲鱼等已被列入禁食名单,2020-03-06,假,谣言,"['野生动物', '新型冠状病毒']"
161,支援武汉的上海52岁男医生感染新冠肺炎去世,2020-03-07,假,谣言,"['新型冠状病毒肺炎', '上海']"
162,意大利86人因新冠肺炎被隔离在妓院里14天,2020-03-06,假,谣言,"['意大利', '西班牙']"
163,教育部确定今年高考延期至6月26日举行,2020-03-06,假,谣言,"['高考', '延期']"
164,宠物狗会传播新型冠状病毒,2020-03-05,疑,尚无定论,"['宠物狗', '新型冠状病毒']"
165,腾讯课堂给违反纪律的学生发短信，要求交纳罚款,2020-03-05,假,谣言,"['腾讯课堂', '诈骗短信']"
166,钟南山近日出征欧洲，指导其他国家抗击疫情,2020-03-05,假,谣言,"['钟南山', '新型冠状病毒']"
167,花岗岩能预防新冠肺炎感染,2020-03-05,假,伪科学,"['新型冠状病毒', '花岗岩']"
168,意大利零号病人是去夏威夷度假后被感染,2020-03-05,假,谣言,"['意大利', '零号病人']"
169,日本厂家推出一体化防护头盔,2020-03-04,假,谣言,"['新型冠状病毒', '日本']"
170,安宫牛黄丸可预防新冠肺炎,2020-03-04,疑,尚无定论,"['安宫牛黄丸', '新型冠状病毒']"
171,降压药会加重已感染新冠病毒的高血压患者病情,2020-03-04,假,谣言,"['降压药', '新型冠状病毒']"
172,降压药会增加高血压患者感染病毒的风险,2020-03-04,疑,尚无定论,"['降压药', '新型冠状病毒']"
173,用烟草能研发出新冠肺炎疫苗,2020-03-04,疑,尚无定论,"['新冠肺炎', '疫苗']"
174,中国女子给美国捐赠20万只口罩后获得绿卡,2020-03-03,假,谣言,"['宁波', '口罩']"
175,疫情期间可以通过大强度锻炼提高抵抗力,2020-03-03,假,伪科学,"['锻炼', '抵抗力']"
176,韩国16名护士因新冠肺炎疫情集体辞职,2020-03-03,假,谣言,"['韩国', '新型冠状病毒']"
177,青蒿素可以治疗新型冠状病毒肺炎,2020-03-02,疑,尚无定论,"['青蒿素', '新型冠状病毒']"
178,可以通过褶皱方向、鼻夹或耳带来判断口罩正反面,2020-03-02,疑,分情况,"['口罩', '正反面']"
179,湖北黄冈村民误服二氧化氯消毒片,2020-03-02,真,确有此事,"['湖北黄冈', '消毒片']"
180,李跃华的穴位注射苯酚疗法对新冠肺炎治疗有效,2020-03-02,疑,尚无定论,"['针灸', '新型冠状病毒']"
181,一封来自武大女博士新冠肺炎的遗书,2020-03-02,假,谣言,"['武汉大学', '女博士']"
182,意大利尤文图斯俱乐部有三名球员感染新冠病毒,2020-03-02,假,谣言,"['新型冠状病毒', '尤文图斯']"
183,熔喷布燃烧无烟无焦，据此可以区分口罩真假,2020-03-01,假,伪科学,"['口罩', '熔喷布']"
184,大批华侨包机从国外回安徽避难,2020-03-01,假,谣言,"['华侨', '新型冠状病毒']"
185,河南省正式公布各市县区疫情等级名单,2020-03-01,假,谣言,"['河南', '新型冠状病毒']"
186,湖南益阳一武大学生传染了爷爷，并接触790人,2020-03-01,假,谣言,"['益阳', '新型冠状病毒']"
187,物美员工出现群体性发热，涉及北京7家门店,2020-03-01,假,谣言,"['物美', '新型冠状病毒']"
188,台湾专家：根据一篇论文可以得出新冠病毒源头是美国,2020-02-29,假,伪科学,"['新型冠状病毒', '美国']"
189,可以确定美国病毒是5株，中国2株，伊朗和美国一样,2020-02-29,假,伪科学,"['毒株', '美国']"
190,新冠病毒家庭版试剂盒上市，在家指尖采血就可以测,2020-02-29,假,谣言,"['新型冠状病毒', '测试盒']"
191,伊朗副总统确诊新冠肺炎后，政府官员不戴口罩探望,2020-02-29,假,谣言,"['伊朗', '新型冠状病毒肺炎']"
192,美国的电子烟肺炎是新型冠状病毒导致,2020-02-29,假,伪科学,"['新型冠状病毒', '电子烟']"
193,韩国人坐飞机到达成都，仅量体温就放行，不隔离,2020-02-29,假,谣言,"['韩国', '成都']"
194,因疫情严重，哈尔滨封城,2020-02-29,假,谣言,"['新型冠状病毒', '哈尔滨']"
195,视频：蒙古国捐赠中国的三万只羊正在二连浩特入境,2020-02-28,假,谣言,"['蒙古国', '羊']"
196,鸡屎藤能预防新型冠状病毒,2020-02-28,假,谣言,"['鸡屎藤', '新冠肺炎']"
